,Unnamed: 0,Unnamed: 0.1,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m),Symbol,Description,annual_report_URL,PDF_path,Total Revenue 20/21
45,45,61,2017-07-13 00:00:00,ANGLING DIRECT PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,29.36,ANG,ANGLING DIRECT PLC,https://www.anglingdirect.co.uk/corporate/uploads/reports-accounts/Annual-Results-Presentation-2021.pdf,annual-reports/ANG_annual_report.pdf,67581000.0
46,46,62,1999-05-24 00:00:00,ANGLO AMERICAN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,39458.55,AAL,ANGLO AMERICAN PLC,https://www.angloamerican.com/investors/annual-reporting,annual-reports/AAL_annual_report.pdf,29882000000.0
48,48,64,1985-04-24 00:00:00,ANGLO-EASTERN PLANTATIONS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,356.73,AEP,ANGLO-EASTERN PLANTATIONS PLC,https://www.annualreports.com/Click/30948,annual-reports/AEP_annual_report.pdf,16792000000.0
51,51,67,2008-01-15 00:00:00,ANIMALCARE GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,168.26,ANCR,ANIMALCARE GROUP PLC,https://www.animalcaregroup.com/investors/document-library/reports-and-accounts/,annual-reports/ANCR_annual_report.pdf,74024000.0
52,52,68,2006-11-28 00:00:00,ANPARIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,135.94,ANP,ANPARIO PLC,https://www.annualreports.com/Company/anpario-plc,annual-reports/ANP_annual_report.pdf,33367000.0
53,53,69,1982-07-05 00:00:00,ANTOFAGASTA PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,11421.15,ANTO,ANTOFAGASTA PLC,https://www.antofagasta.co.uk/investors/reports-presentations/,annual-reports/ANTO_annual_report.pdf,7470100000.0
54,54,70,2007-10-26 00:00:00,APPRECIATE GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,54.13,APP,APPRECIATE GROUP PLC,https://www.appreciategroup.co.uk/investors/reports-and-presentations/2021,annual-reports/APP_annual_report.pdf,2793104000.0
56,56,73,2014-08-28 00:00:00,AQUILA SERVICES GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,11.19,AQSG,AQUILA SERVICES GROUP PLC,https://www.annualreports.com/Company/aquila-services-group-plc,annual-reports/AQSG_annual_report.pdf,7642000.0
57,57,74,2018-06-14 00:00:00,AQUIS EXCHANGE PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,109.21,AQX,AQUIS EXCHANGE PLC,https://www.aquis.eu/investors/annual-and-interim-reports,annual-reports/AQX_annual_report.pdf,17182755.0
58,58,75,2005-06-27 00:00:00,ARBUTHNOT BANKING GROUP PLC,Financials,Banks,United Kingdom,Europe,AIM ,No,133.63,ARBB,ARBUTHNOT BANKING GROUP PLC,http://www.arbuthnotgroup.com/results_presentations.html,annual-reports/ARBB_annual_report.pdf,160031000.0
59,59,77,2000-12-04 00:00:00,ARCONTECH GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,9.96,ARC,ARCONTECH GROUP PLC,http://www.arcontech.com/wp-content/uploads/2021/09/Arcontech%20Group%20PLC%20Annual%20Report%202021.pdf,annual-reports/ARC_annual_report.pdf,272208000.0
60,60,78,2019-06-25 00:00:00,ARGENTEX GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,87.06,AGFX,ARGENTEX GROUP PLC,https://www.argentex.com/sites/default/files/2022-06/Argentex_AR2021_A4_Online%20%282%29.pdf,annual-reports/AGFX_annual_report.pdf,28100000.0
61,61,79,2018-08-03 00:00:00,ARGO BLOCKCHAIN PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,176.8,ARB,ARGO BLOCKCHAIN PLC,https://argoblockchain.com/investors/financial-information/financials,annual-reports/ARB_annual_report.pdf,74204000.0
63,63,83,2017-02-17 00:00:00,ARIX BIOSCIENCE PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,137.58,ARIX,ARIX BIOSCIENCE PLC,https://arixbioscience.com/investor-relations/results-centre,annual-reports/ARIX_annual_report.pdf,340000.0
64,64,85,2006-02-13 00:00:00,ARMADALE CAPITAL PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,12.93,ACP,ARMADALE CAPITAL PLC,http://armadalecapitalplc.com/key-corporate-documents,annual-reports/ACP_annual_report.pdf,35766220.0
65,65,87,2018-07-13 00:00:00,ASA INTERNATIONAL GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,85.25,ASAI,ASA INTERNATIONAL GROUP PLC,https://www.asa-international.com/investors/results-reports-presentations/,annual-reports/ASAI_annual_report.pdf,41898000000.0
66,66,88,2016-02-09 00:00:00,ASCENTIAL PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,1285.34,ASCL,ASCENTIAL PLC,https://www.ascential.com/investors/annual-reports,annual-reports/ASCL_annual_report.pdf,349300000.0
68,68,90,2006-10-17 00:00:00,ASHMORE GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1538.09,ASHM,ASHMORE GROUP PLC,https://ir.ashmoregroup.com/reports-presentations,annual-reports/ASHM_annual_report.pdf,292900000.0
