,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
445,2009-12-21 00:00:00,COMPAL ELECTRONICS INC,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY ,Yes,-
446,2001-02-02 00:00:00,COMPASS GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,33885.04
447,2016-06-21 00:00:00,COMPTOIR GROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,11.04
448,1998-05-29 00:00:00,COMPUTACENTER PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,3184.98
449,1996-07-04 00:00:00,CONCURRENT TECHNOLOGIES PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,64.56
450,2006-05-31 00:00:00,CONDOR GOLD PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,36.09
451,2020-12-01 00:00:00,CONDUIT HOLDINGS LIMITED,Financials,Insurance,Bermuda,North America,MAIN MARKET ,Yes,576.07
452,2000-05-30 00:00:00,CONROY GOLD & NATURAL RESOURCES PLC,Basic Materials,Basic Resources,Ireland,Europe,AIM ,Yes,10.31
453,2017-11-01 00:00:00,CONTANGO HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,20.56
454,2017-11-09 00:00:00,CONTOURGLOBAL PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,1687.2
455,2016-10-26 00:00:00,CONVATEC GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,4659.31
456,2009-08-27 00:00:00,CONYGAR INVESTMENT COMPANY PLC (THE),Real Estate,Real Estate ,United Kingdom,Europe,AIM ,No,79.02
457,2017-10-09 00:00:00,CORA GOLD LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,14.48
458,2011-09-06 00:00:00,CORAL PRODUCTS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,12.3
459,2005-02-22 00:00:00,CORCEL PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,1.97
460,2018-05-30 00:00:00,CORDEL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,8.95
461,2021-02-16 00:00:00,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,812.66
462,2000-10-09 00:00:00,CORERO NETWORK SECURITY PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,48.25
463,2021-04-06 00:00:00,CORNERSTONE FS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,1.95
464,2021-02-16 00:00:00,CORNISH METALS INC.,Basic Materials,Basic Resources,Canada,North America,AIM ,Yes,100.94
465,2017-02-24 00:00:00,CORO ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,6.24
466,1979-01-03 00:00:00,COSTAIN GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,120.76
467,2016-02-12 00:00:00,COUNTRYSIDE PARTNERSHIPS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,1449.47
468,2015-02-11 00:00:00,CPPGROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,16.8
469,1994-11-04 00:00:00,CQS NATURAL RESOURCES GROWTH AND INCOME PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,115.72
470,2007-03-07 00:00:00,CQS NEW CITY HIGH YIELD FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,250.72
471,2007-09-13 00:00:00,CRANEWARE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,668.19
472,1993-07-13 00:00:00,CRANSWICK PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,1810.03
473,2004-08-04 00:00:00,CRAVEN HOUSE CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,0.71
474,1994-08-30 00:00:00,CREIGHTONS PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,MAIN MARKET ,No,31.51
475,2016-12-09 00:00:00,CREO MEDICAL GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,135
476,2006-03-28 00:00:00,CRESTCHIC PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,56.7
477,2013-02-18 00:00:00,CREST NICHOLSON HOLDINGS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,708.07
478,1973-02-02 00:00:00,CRH PLC,Industrials,Construction and Materials,Ireland,Europe,MAIN MARKET ,Yes,23799.93
479,2006-08-22 00:00:00,CRIMSON TIDE PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,15.45
480,2020-09-29 00:00:00,CRITICAL METALS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,7.81
481,1964-06-10 00:00:00,CRODA INTERNATIONAL PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,10447.52
482,2004-04-16 00:00:00,CROMA SECURITY SOLUTIONS GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,10.28
483,2007-08-31 00:00:00,CROPPER (JAMES) PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,107.01
484,2018-12-14 00:00:00,CROSSWORD CYBERSECURITY PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,19.62
485,1998-04-08 00:00:00,CROWN PLACE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,81.76
486,2008-06-17 00:00:00,CRYSTAL AMBER FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,91.55
487,2021-12-23 00:00:00,CT AUTOMOTIVE GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,73.85
488,2008-04-16 00:00:00,CT GLOBAL MANAGED PORTFOLIO TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,156.58
489,1999-03-22 00:00:00,CT PRIVATE EQUITY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,308.13
490,2004-06-01 00:00:00,CT PROPERTY TRUST LIMITED,Real Estate,Real Estate ,Guernsey,Europe,MAIN MARKET ,No,195.93
491,1992-10-29 00:00:00,CT UK CAPITAL AND INCOME INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,332.14
492,2007-03-01 00:00:00,CT UK HIGH INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,191.63
493,2013-06-26 00:00:00,CURRYS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,754.91
494,2015-05-07 00:00:00,CURTIS BANKS GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,183.92
495,2017-10-04 00:00:00,CURZON ENERGY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,0.77
496,2014-03-26 00:00:00,CUSTODIAN REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,479.65
497,2013-06-25 00:00:00,CVC INCOME & GROWTH LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,202.14
498,2007-10-10 00:00:00,CVS GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,1223
499,2005-12-07 00:00:00,CYANCONNODE HOLDINGS PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,32.49
500,2021-03-08 00:00:00,CYBA PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,25.39
501,2008-06-16 00:00:00,D4T4 SOLUTIONS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,98.77
502,2016-06-30 00:00:00,DALATA HOTEL GROUP PLC,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET ,Yes,669.71
503,2021-04-30 00:00:00,DARKTRACE PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,2623.66
504,1997-03-21 00:00:00,DATANG INTERNATIONAL POWER GENERATION COMPANY LD,Utilities,Utilities,China,Asia,MAIN MARKET ,Yes,1569.04
505,2016-01-29 00:00:00,DAVICTUS PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,-
506,1994-05-19 00:00:00,DCC PLC,Industrials,Industrial Goods and Services,Ireland,Europe,MAIN MARKET ,Yes,5280.01
507,2000-09-21 00:00:00,DECHRA PHARMACEUTICALS PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,4191.06
508,2007-12-31 00:00:00,DEEPMATTER GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,4.64
509,2017-04-05 00:00:00,DEEPVERGE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,33.51
510,2013-03-18 00:00:00,DEKEL AGRI-VISION PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Cyprus,Europe,AIM ,Yes,17.2
511,1947-03-27 00:00:00,DE LA RUE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,176.38
512,2021-03-31 00:00:00,DELIVEROO PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,1591.12
513,2001-11-08 00:00:00,DELTEX MEDICAL GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,7.34
514,2012-05-11 00:00:00,DELTIC ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,41.83
515,1984-08-13 00:00:00,DERWENT LONDON PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,3220.5
516,2017-09-04 00:00:00,DESTINY PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,34.82
517,2019-01-21 00:00:00,DEV CLEVER HOLDINGS PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,179.14
518,2017-01-24 00:00:00,DEVELOP NORTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,23.15
519,2021-11-04 00:00:00,"DEVOLVER DIGITAL, INC.",Consumer Discretionary,Consumer Products and Services,United States,North America,AIM ,Yes,274.2
520,1993-06-30 00:00:00,DEVRO PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,309.78
521,2006-02-22 00:00:00,DEWHURST GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,62.06
522,1990-05-14 00:00:00,DFI RETAIL GROUP HOLDINGS LIMITED,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",Bermuda,North America,MAIN MARKET ,Yes,20460.98
523,2015-03-11 00:00:00,DFS FURNITURE PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,360.91
524,2017-03-30 00:00:00,DG INNOVATE PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,16.36
525,2019-03-21 00:00:00,DIACEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,77.14
526,1952-04-01 00:00:00,DIAGEO PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,88474.11
527,1993-11-09 00:00:00,DIALIGHT PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,90.44
528,2021-05-24 00:00:00,DIANOMI PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,55.55
529,2021-03-31 00:00:00,DIGITAL 9 INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,977.65
530,2003-04-30 00:00:00,DIGITALBOX PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,14.74
531,2004-04-08 00:00:00,DIGNITY PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,221.17
532,2006-06-15 00:00:00,DILLISTONE GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,4.23
533,1960-06-12 00:00:00,DIPLOMA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,3424.45
534,2016-05-27 00:00:00,DIRECTA PLUS PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,66.72
535,2012-10-16 00:00:00,DIRECT LINE INSURANCE GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,2701.46
536,1994-03-28 00:00:00,DISCOVERIE GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,722.6
537,2018-04-13 00:00:00,DISH TV INDIA LIMITED,Consumer Discretionary,Media,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
538,2004-01-20 00:00:00,DISTIL PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,7.87
539,2019-05-09 00:00:00,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,63.68
540,2015-12-24 00:00:00,DIURNAL GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,16.72
541,2011-04-28 00:00:00,DIVERSE INCOME TRUST (THE) PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,346.62
542,2017-02-03 00:00:00,DIVERSIFIED ENERGY COMPANY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,1052.64
543,2005-12-08 00:00:00,DOLPHIN CAPITAL INVESTORS LIMITED,Real Estate,Real Estate ,British Virgin Islands,North America,AIM ,Yes,28.04
544,2008-05-19 00:00:00,DOMINO'S PIZZA GROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,1241.13
545,2010-12-13 00:00:00,DORIC NIMROD AIR ONE LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,24.62
546,2013-07-02 00:00:00,DORIC NIMROD AIR THREE LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,105.6
547,2011-07-14 00:00:00,DORIC NIMROD AIR TWO LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,155.48
548,2011-03-29 00:00:00,DOTDIGITAL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,292.88
549,2009-03-25 00:00:00,DOWNING FOUR VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,60.33
550,1996-05-03 00:00:00,DOWNING ONE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,102.82
551,2020-12-10 00:00:00,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,216.01
552,2017-05-09 00:00:00,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,32.68
553,2013-10-04 00:00:00,DP AIRCRAFT I LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,5.41
554,2017-06-28 00:00:00,DP EURASIA N.V.,Consumer Discretionary,Travel and Leisure,Netherlands,Europe,MAIN MARKET ,Yes,82.86
555,2010-07-28 00:00:00,DP POLAND PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,40.02
556,2005-12-15 00:00:00,DRAX GROUP PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,3143.64
557,2005-10-13 00:00:00,DRIVER GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,17.5
558,2021-01-29 00:00:00,DR. MARTENS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,2596.58
559,1997-06-02 00:00:00,DRUMZ PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,2.41
560,2021-12-16 00:00:00,DSW CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,22.99
561,2017-03-29 00:00:00,DUKEMOUNT CAPITAL PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,0.64
562,2012-07-09 00:00:00,DUKE ROYALTY LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,140.45
563,1987-04-01 00:00:00,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,64.5
564,1949-11-21 00:00:00,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,437.38
565,2006-10-24 00:00:00,DUNELM GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,1715.8
566,2019-03-11 00:00:00,DWF GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,303.23
567,2014-02-27 00:00:00,DX (GROUP) PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,172.1
568,2014-04-16 00:00:00,EAGLE EYE SOLUTIONS GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,147.3
569,2019-05-03 00:00:00,EAST IMPERIAL PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,7.61
570,2021-05-04 00:00:00,EAST STAR RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,8.66
571,2000-11-22 00:00:00,EASYJET PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,3027.49
572,2000-05-05 00:00:00,EBIQUITY PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,64.94
573,1995-09-21 00:00:00,ECCLESIASTICAL INSURANCE OFFICE PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,137.85
574,2005-12-12 00:00:00,ECHO ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,3.99
575,2003-06-27 00:00:00,ECKOH PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,123.66
576,1995-09-26 00:00:00,ECO ANIMAL HEALTH GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,82.28
577,2017-02-08 00:00:00,ECO (ATLANTIC) OIL & GAS LTD,Energy,Energy,Canada,North America,AIM ,Yes,87.8
578,2016-09-26 00:00:00,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,238.85
579,2020-12-22 00:00:00,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,100.76
580,2006-01-20 00:00:00,ECR MINERALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,10.11
581,2016-12-14 00:00:00,ECSC GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,3.9
582,2012-05-11 00:00:00,EDEN RESEARCH PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,14
583,2005-02-21 00:00:00,EDENVILLE ENERGY PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,2.71
584,2006-04-11 00:00:00,EDGE PERFORMANCE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,13.16
585,1952-02-08 00:00:00,EDINBURGH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1055.59
586,1998-07-10 00:00:00,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,772.23
587,2014-10-28 00:00:00,EDISTON PROPERTY INVESTMENT COMPANY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,166.11
588,2015-04-02 00:00:00,EDITA FOOD INDUSTRIES S.A.E.,Consumer Staples ,"Food, Beverage and Tobacco ",Egypt,Middle East,MAIN MARKET ,Yes,-
589,2005-04-04 00:00:00,EENERGY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,28.26
590,1998-08-04 00:00:00,EFG-HERMES HOLDING S.A.E.,Financials,Financial Services ,Egypt,Middle East,MAIN MARKET ,Yes,-
591,2008-01-17 00:00:00,EGDON RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,19.95
592,2017-04-07 00:00:00,EJF INVESTMENTS LTD,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,19.35
593,2010-07-07 00:00:00,EKF DIAGNOSTICS HOLDINGS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,169.69
594,2006-03-22 00:00:00,ELECO PUBLIC LIMITED COMPANY,Technology,Technology,United Kingdom,Europe,AIM ,No,58.21
595,2022-01-11 00:00:00,ELECTRIC GUITAR PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.53
596,1964-04-01 00:00:00,ELEMENTIS PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,635.38
597,2020-07-09 00:00:00,ELIXIRR INTERNATIONAL PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,314.07
598,2010-03-29 00:00:00,EMIS GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,1158.6
599,2017-02-15 00:00:00,EMMERSON PLC,Basic Materials,Basic Resources,Isle of Man,Europe,AIM ,No,64.58
600,2010-12-17 00:00:00,EMPIRE METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,4.81
601,2014-06-30 00:00:00,EMPIRIC STUDENT PROPERTY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,542.93
602,2004-11-03 00:00:00,EMPRESARIA GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,29.91
603,2005-07-27 00:00:00,EMPYREAN ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,7.9
604,2021-06-14 00:00:00,ENDEAVOUR MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,3974.22
605,2021-11-22 00:00:00,ENERAQUA TECHNOLOGIES PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,86.38
606,2018-03-16 00:00:00,ENERGEAN PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,2043.9
607,2018-03-12 00:00:00,ENGAGE XR HOLDINGS PLC,Technology,Technology,Ireland,Europe,AIM ,Yes,33.4
608,2017-11-03 00:00:00,EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,-
609,2010-04-06 00:00:00,ENQUEST PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,543.15
610,2022-05-24 00:00:00,ENSILICA PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,37.24
611,2013-03-20 00:00:00,ENTAIN PLC,Consumer Discretionary,Travel and Leisure,Isle of Man,Europe,MAIN MARKET ,No,7080.1
612,2012-05-18 00:00:00,ENTEQ TECHNOLOGIES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,10.01
613,2002-09-27 00:00:00,ENWELL ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,68.94
614,2018-09-21 00:00:00,EPE SPECIAL OPPORTUNITIES LIMITED,Financials,Financial Services ,Bermuda,North America,MAIN MARKET / AIM ,Yes,54.37
615,2014-07-24 00:00:00,EPWIN GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,112.31
616,2008-10-20 00:00:00,EQTEC PLC,Energy,Energy,Ireland,Europe,AIM ,Yes,43.62
617,2014-08-05 00:00:00,EQUALS GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,177.1
618,2014-07-15 00:00:00,ERGOMED PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,601.55
619,2007-09-20 00:00:00,ESKEN LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,74.85
620,2019-05-29 00:00:00,ESSENSYS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,42.49
621,2005-06-06 00:00:00,ESSENTRA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,748.19
622,2011-04-15 00:00:00,ETALON GROUP PLC,Real Estate,Real Estate ,Cyprus,Europe,MAIN MARKET ,Yes,-
623,2007-11-28 00:00:00,E-THERAPEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,110.9
624,2017-06-29 00:00:00,ETHERNITY NETWORKS LTD,Telecommunications,Telecommunications,Israel,Middle East,AIM ,Yes,10.37
625,1996-10-02 00:00:00,EURASIA MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,164.08
626,2015-03-09 00:00:00,EUROCELL PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,193.89
627,1990-01-22 00:00:00,EUROMONEY INSTITUTIONAL INVESTOR PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,1584.73
628,2010-12-15 00:00:00,EUROPA METALS LTD,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,2.49
629,2004-11-11 00:00:00,EUROPA OIL & GAS (HOLDINGS) PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,22.48
630,2019-03-18 00:00:00,EUROPEAN ASSETS TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,339.19
631,2015-12-10 00:00:00,EUROPEAN METALS HOLDINGS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,75.35
632,2000-11-20 00:00:00,EUROPEAN OPPORTUNITIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,766.32
633,2013-11-07 00:00:00,EVERYMAN MEDIA GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,99.38
634,2017-05-18 00:00:00,EVE SLEEP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,2.47
635,2015-10-21 00:00:00,EVGEN PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,9.62
636,2005-06-08 00:00:00,EVRAZ PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,1179.93
637,2006-10-11 00:00:00,EXPERIAN PLC,Industrials,Industrial Goods and Services,Jersey,Europe,MAIN MARKET ,No,26356.19
638,1999-06-30 00:00:00,EZZ STEEL COMPANY - S.A.E.,Basic Materials,Basic Resources,Egypt,Middle East,MAIN MARKET ,Yes,-
639,2022-01-05 00:00:00,FACILITIES BY ADF PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,46.36
640,2014-06-12 00:00:00,FAIR OAKS INCOME LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,230.62
641,2013-06-20 00:00:00,FALANX GROUP LIMITED,Industrials,Industrial Goods and Services,British Virgin Islands,North America,AIM ,Yes,3.29
642,2013-03-28 00:00:00,FALCON OIL & GAS LTD.,Energy,Energy,Canada,North America,AIM ,Yes,79.89
643,2017-07-12 00:00:00,FANDANGO HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.6
644,2015-11-17 00:00:00,FARON PHARMACEUTICALS OY,Health Care ,Health Care  ,Finland,Europe,AIM ,Yes,111.91
