,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
38,2022-01-28 00:00:00,ACP ENERGY PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,2.8
39,1997-10-06 00:00:00,ACTIVE ENERGY GROUP PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,11.01
40,2021-03-29 00:00:00,ACTIVEOPS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,61.37
41,2014-02-13 00:00:00,ACTUAL EXPERIENCE PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,1.64
42,2005-07-26 00:00:00,ADAMS PLC,Real Estate,Real Estate ,Isle of Man,Europe,AIM ,No,8.75
43,2006-02-15 00:00:00,ADEPT TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,36.92
44,2005-12-16 00:00:00,ADM ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,2.17
45,2004-09-28 00:00:00,ADMIRAL GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,5751.96
46,2019-12-12 00:00:00,ADRIATIC METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,319.66
47,2020-12-04 00:00:00,ADVANCEDADVT LIMITED,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,-
48,2002-04-30 00:00:00,ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,606.55
49,2006-08-04 00:00:00,ADVANCED ONCOTHERAPY PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,113.83
50,2016-05-16 00:00:00,ADVANCE ENERGY PLC,Energy,Energy,Isle of Man,Europe,AIM ,No,1.6
51,2000-03-20 00:00:00,ADVFN PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,13.68
52,1938-07-27 00:00:00,AECI LD,Basic Materials,Chemicals,South Africa,Africa,MAIN MARKET ,Yes,-
53,2002-05-01 00:00:00,AEOREMA COMMUNICATIONS PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,6.19
54,2015-05-12 00:00:00,AEW UK REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,189.16
55,2010-07-26 00:00:00,AFARAK GROUP PLC,Basic Materials,Basic Resources,Finland,Europe,MAIN MARKET ,Yes,49.27
56,2007-04-24 00:00:00,AFC ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,198.51
57,2002-10-21 00:00:00,AFENTRA PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,32.02
