symbol,name
GPM-LN,Golden Prospect Precious Metals Ltd
GPOR-LN,Great Portland Estates plc
GPSS-LN,Golden Prospect Precious Metals Ltd - Subscription Shares
GR1T-LN,Grit Real Estate Income Group Limited
GRA-LN,Grafenia Plc
GRC-LN,GRC International Group Plc
GRG-LN,Greggs plc
GRI-LN,Grainger Plc
GRID-LN,Gresham House Energy Storage Fund Plc
GRIO-LN,Ground Rents Income Fund plc
GRL-LN,Goldstone Resources
GROW-LN,Draper Esprit Plc
GSEO-LN,VH Global Sustainable Energy Opportunities Plc
GSF-LN,Gore Street Energy Storage Fund Plc
GSFC-LN,Gore Street Energy Storage Fund Plc - Class C
GSK-LN,Glaxosmithkline plc
GSS-LN,Genesis Emerging Markets Fund - PTG
GST-LN,GSTechnologies Ltd
GTC-LN,Getech Group
GTE-LN,Gran Tierra Energy Inc
GTLY-LN,Gateley (Holdings) Plc
GUN-LN,Gunsynd plc
GUS-LN,Gusbourne Plc
GV1A-LN,Gresham House Renewable Energy VCT 1 Plc - Class A
GV1O-LN,Gresham House Renewable Energy VCT 1 Plc
GV2A-LN,Gresham House Renewable Energy VCT 2 Plc - Class A
GV2O-LN,Gresham House Renewable Energy VCT 2 Plc
GVC-LN,GVC Holdings Plc
GVMH-LN,Grand Vison Media Holdings Plc
GVP-LN,Gabelli Value Plus+ Trust Plc
GWMO-LN,Great Western Mining Corp Plc
GYG-LN,GYG plc
GYM-LN,Gym Group plc
GYS-LN,Gamesys Group Plc
HAN-LN,Hansa Investment Company Limited
HANA-LN,Hansa Investment Company Limited - Class A
HAS-LN,Hays plc
HAST-LN,Henderson Alternative Strategies Trust Plc
HAT-LN,H & T Group
HAYD-LN,Haydale Graphene Industries Plc
HBR-LN,Harbour Energy Plc
HBRN-LN,Hibernia REIT PLC
HCFT-LN,Highcroft Investments
HCM-LN,HUTCHMED (China) Limited
HDIV-LN,Henderson Diversified Income Trust Plc
HDT-LN,Holders Technology plc
HE1-LN,Helium One Global Ltd
HEAD-LN,Headlam Group plc
HEFT-LN,Henderson European Focus Trust plc
HEIQ-LN,HeiQ Plc
HEMO-LN,Hemogenyx Pharmaceuticals Plc
HFD-LN,Halfords
HFEL-LN,Henderson Far East Income Ltd.
HFG-LN,Hilton Food Group Plc
HGT-LN,Hgcapital Trust plc
HHI-LN,Henderson High Income Trust plc
HHV-LN,Hargreave Hale AIM VCT Plc
HICL-LN,HICL Infrastructure PLC
HID-LN,Hidong Estate plc
HIK-LN,Hikma Pharmaceuticals Plc
HILS-LN,Hill & Smith Holdings plc
HINT-LN,Henderson International Income Trust plc
HL.-LN,Hargreaves Lansdown Plc
HLCL-LN,Helical Plc
HLMA-LN,Halma plc
HMI-LN,Harvest Minerals Limited
HMSO-LN,Hammerson plc
HNE-LN,Henderson Euro Trust plc
HNG-LN,Hawkwing Plc
HOC-LN,Hochschild Mining Plc
HOME-LN,Home REIT Plc
HONY-LN,Honeycomb Investment Trust Plc
HOT-LN,Henderson Opportunities Trust Plc
HOTC-LN,Hotel Chocolat Group Plc
HOYE-LN,Honye Financial Services Ltd
HPAC-LN,Hermes Pacific Investments plc
HRI-LN,Herald Investment Trust plc
HRN-LN,Hornby plc
HSBA-LN,HSBC Holdings plc
HSD-LN,Hansard Global Plc
HSL-LN,Henderson Smaller Companies Investment Trust
HSM-LN,Heath (Samuel) & Sons
HSP-LN,Hargreaves Services
HSS-LN,HSS Hire Group Plc.
HSV-LN,Homeserve
HSW-LN,Hostelworld Group plc
HSX-LN,Hiscox Ltd
HTCF-LN,Highbridge Tactical Credit Fund Limited - Sterling
HTG-LN,Hunting plc
HTWS-LN,Helios Towers Plc
HUM-LN,Hummingbird Resources Limited
HUNT-LN,Hunters Property Plc
HUR-LN,Hurricane Energy plc
HUW-LN,Helios Underwriting Plc
HVPD-LN,Harbourvest Global Private Equity - Class A
HVT-LN,Heavitree Brewery plc
HVTA-LN,Heavitree Brewery plc - Class A (Limited Voting)
HWDN-LN,Howden Joinery Group Plc
HWG-LN,Harworth Group Plc
HYG-LN,Seneca Growth Capital VCT Plc
HYVE-LN,Hyve Group Plc
HZD-LN,Horizon Discovery Group Plc
HZM-LN,Horizonte Minerals
I3E-LN,i3 Energy Plc
IAG-LN,International Consolidated Airlines Group SA
IAT-LN,Invesco Asia Trust
IBPO-LN,iEnergizer Ltd
IBST-LN,Ibstock plc
IBT-LN,International Biotechnology Trust plc
ICGT-LN,ICG Enterprise Trust Plc
ICON-LN,Iconic Labs Plc
ICP-LN,Intermediate Capital Group
IDE-LN,IDE Group Holdings Plc
IDEA-LN,Ideagen Plc
IDH-LN,Immunodiagnostic Systems Hldgs
IDOX-LN,Idox
IDP-LN,Innovaderma Plc
IEM-LN,Impax Environmental Markets Plc
IES-LN,Invinity Energy Systems Plc
IGAS-LN,IGas Energy Plc
IGC-LN,India Capital Growth Fund
IGE-LN,Image Scan Holdings Plc
IGG-LN,IG Group Hldgs
IGP-LN,Intercede Group
IGR-LN,IG Design Group Plc
IGV-LN,Income & Growth Vct Plc
IHC-LN,Inspiration Healthcare Group Plc
IHG-LN,Intercontinental Hotels Group
IHP-LN,IntegraFin Holdings Plc
IHR-LN,Impact Healthcare REIT Plc
IIG-LN,Intuitive Investments Group Plc
III-LN,3i Group plc
IIP-LN,Infrastructure India Plc
IIT-LN,Independent Investment Trust plc
IKA-LN,Ilika plc
IMB-LN,Imperial Brands Plc
IMC-LN,IMC Exploration Group Plc
IME-LN,Immedia Group plc
IMI-LN,IMI plc
IMM-LN,Immupharma Plc
IMMO-LN,Immotion Group Plc
IMO-LN,IMImobile Plc
INCE-LN,Ince Group Plc
INCH-LN,Inchcape plc
INDI-LN,Indus Gas Ltd
INDV-LN,Indivior Plc
INF-LN,Informa Plc
INFA-LN,Infrastrata Plc
ING-LN,Ingenta Plc
INHC-LN,Induction Healthcare Group Plc
INL-LN,Inland Homes Plc
INPP-LN,International Public Partnerships Limited
INS-LN,Instem Plc
INSE-LN,Inspired Energy Plc
INSG-LN,Insig AI Plc
INSP-LN,Inspirit Energy Holdings plc.
INTO-LN,INTOSOL Holdings plc
INV-LN,Investment Co plc
INVP-LN,Investec plc
INX-LN,i-nexus Global Plc
IOF-LN,Iofina Plc
IOG-LN,IOG Plc
IOM-LN,Iomart Group plc
IPE-LN,Invesco Enhanced Income Limited
IPEL-LN,Impellam Group Plc
IPF-LN,International Personal Finance Plc
IPO-LN,IP Group Plc
IPU-LN,Invesco Perpetual UK Smaller Companies Investment Trust plc
IPX-LN,Impax Asset Management Group Plc
IQAI-LN,IQ-AI Limited
IQE-LN,IQE plc
IQG-LN,IQGeo Group Plc
IRON-LN,Ironveld Plc
IRR-LN,IronRidge Resources Limited
ITM-LN,ITM Power
ITRK-LN,Intertek Group plc
ITS-LN,In The Style Group Plc
ITV-LN,ITV
ITX-LN,Itaconix Plc
IUG-LN,Intelligent Ultrasound Group Plc
IVI-LN,Invesco Income Growth Trust plc
IVPB-LN,Invesco Select Trust Plc - Balanced Risk
IVPG-LN,Invesco Select Trust Plc - Global Equity
IVPM-LN,Invesco Select Trust Plc - Managed Liquidity
IVPU-LN,Invesco Select Trust Plc - UK Equity
IWG-LN,IWG plc
IXI-LN,Ixico Plc
JADE-LN,Jade Road Investments Limited
JAGI-LN,JPMorgan Asia Growth & Income Plc
JAM-LN,JPMorgan American Investment Trust Plc
JAN-LN,Jangada Mines Plc
JARA-LN,JPMorgan Global Core Real Assets Limited
JARC-LN,JPMorgan Global Core Real Assets Limited - Class C
JAY-LN,Bluejay Mining Plc
JCGI-LN,JPMorgan China Growth & Income Plc
JCH-LN,JPMorgan Claverhouse Investment Trust Plc
JD.-LN,JD Sports Fashion plc.
JDG-LN,Judges Scientific Plc
JDW-LN,Wetherspoon(J D) plc
JEDT-LN,JPMorgan European Discovery Trust Plc
JEFI-LN,Jupiter Emerging & Frontier Income Trust Plc - Redeemable Shares - GBP
JEL-LN,Jersey Electricity Plc - Class A
JEMI-LN,JPMorgan Global Emerging Markets Income Trust Plc
JEO-LN,European Opportunities Trust Plc
JESC-LN,JPMorgan European Discovery Trust Plc
JET-LN,Just Eat Takeaway.com N.V.
JET2-LN,Jet2 Plc
JETG-LN,JPMorgan European Investment Trust Plc - Growth
JETI-LN,JPMorgan European Investment Trust Plc - Income
JFJ-LN,JPMorgan Japanese Investment Trust Plc
JGC-LN,Jupiter Green Investment Trust
JGGI-LN,JPMorgan Global Growth & Income Plc
JHD-LN,James Halstead plc
JHYP-LN,JPMorgan Funds ETFs (Ireland) ICAV - Global High Yield Corporate Bond MultiFactor UCITS ETF
JII-LN,JP Morgan Indian Investment Trust Plc
JIM-LN,Jarvis Securities
JKX-LN,JKX Oil & Gas
JLEN-LN,JLEN Environmental Assets Group Ltd.
JLG-LN,John Laing Group Plc
JLH-LN,John Lewis of Hungerford Plc
JLP-LN,Jubilee Metals Group Plc
JMAT-LN,Johnson Matthey plc
JMF-LN,JP Morgan Mid Cap Investment Trust Plc
JMG-LN,JPMorgan Emerging Markets Investment Trust Plc
JMI-LN,JPMorgan Smaller Companies Investment Trust Plc
JNEO-LN,Journeo Plc
JOG-LN,Jersey Oil and Gas Plc
JOUL-LN,Joules Group Plc
JPE-LN,JPMorgan Elect Plc - Managed Growth
JPEC-LN,JPMorgan Elect Plc - Managed Cash
JPEI-LN,JPMorgan Elect Plc - Managed Income
JPS-LN,JPMorgan Japan Smaller Companies Trust plc
JPSS-LN,JPMorgan Japan Small Cap Growth & Income plc - Subscription Shares
JRS-LN,JPMorgan Russian Securities Plc
JSE-LN,Jadestone Energy Plc
JSG-LN,Johnson Service Group plc
JSGI-LN,JPMorgan Japan Small Cap Growth & Income plc
JTC-LN,JTC Plc
JUKG-LN,Jupiter UK Growth Investment Trust Plc
JUP-LN,Jupiter Fund Management Plc
JUS-LN,Brown Advisory US Smaller Companies Plc
JUSC-LN,JPMorgan US Smaller Companies Investment Trust Plc
JUST-LN,Just Group Plc
JWNG-LN,Jaywing Plc
JZCP-LN,JZ Capital Partners
K3C-LN,K3 Capital Group Plc
KAKU-LN,Kakuzi plc
KAPE-LN,Kape Technologies Plc
KAV-LN,Kavango Resources Plc
KAY-LN,Kings Arms Yard Vct Plc
KAZ-LN,KAZ Minerals Plc
KBT-LN,K3 Business Technology Group plc
KCR-LN,KCR Residential REIT plc
KCT-LN,Kin and Carta Plc
KDNC-LN,Cadence Minerals Plc
KDR-LN,Karelian Diamond Resources
KEFI-LN,KEFI Gold and Copper Plc
KETL-LN,Strix Group Plc
KEYS-LN,Keystone Law Group Plc
KGF-LN,Kingfisher Plc
KGH-LN,Knights Group Holdings Plc
KIBO-LN,Kibo Energy Plc
KIE-LN,Kier Group plc
KINO-LN,Kinovo Plc
KIST-LN,Kistos Plc
KIT-LN,Keystone Investment Trust plc
KITW-LN,Kitwave Group Plc
KKVL-LN,KKV Secured Loan Fund Limited
KKVX-LN,KKV Secured Loan Fund Limited - Class C
KLR-LN,Keller
KMK-LN,Kromek Group Plc
KMR-LN,Kenmare Resources Plc
KNB-LN,Kanabo Group Plc
KNOS-LN,Kainos Group Plc
KOD-LN,Kodal Minerals Plc
KOO-LN,Kooth Plc
KOS-LN,Kosmos Energy Ltd
KP2-LN,Kore Potash Plc
KPC-LN,Keystone Positive Change Investment Trust Plc
KRM-LN,KRM22 Plc
KRPZ-LN,Kropz Plc
KRS-LN,Keras Resources Plc
KSK-LN,KSK Power Ventur Plc
KWG-LN,Kingswood Holding Limited
KWS-LN,Keywords Studios Plc
KZG-LN,Kazera Global plc
LAM-LN,Lamprell Plc
LAND-LN,Land Securities Group
LAS-LN,London & Associate Properties plc
LBE-LN,Longboat Energy Plc
LBOW-LN,ICG-Longbow Senior Secured UK Property Debt Investments Ltd
LDG-LN,Logistics Development Group Plc
LDSG-LN,Leeds Group plc
LEK-LN,Lekoil Limited
LEND-LN,Sancus Lending Group Ltd
LEX-LN,Lexington Gold Limited
LFI-LN,London Finance & Investment Group
LGEN-LN,Legal & General Group plc
LGRS-LN,Loungers Plc
LID-LN,Lidco Group
LIO-LN,Liontrust Asset Management plc
LIT-LN,Litigation Capital Management Limited
LIV-LN,Livermore Investments Group Limited
LLOY-LN,Lloyds Banking Group plc
LME-LN,Limitless Earth Plc
LMP-LN,LondonMetric Property Plc
LMS-LN,LMS Capital Plc
LND-LN,Landore Resources
LOGP-LN,Lansdowne Oil & Gas
LOK-LN,Lok`n Store Group plc
LOOK-LN,Lookers plc
LOOP-LN,LoopUp Group Plc
LPA-LN,LPA Group plc
LRE-LN,Lancashire Holdings Limited
LSAI-LN,Location Sciences Group Plc
LSC-LN,London Security plc
LSE-LN,London Stock Exchange Group
LSEG-LN,London Stock Exchange Group
LSL-LN,LSL Property Services Plc
LTG-LN,Learning Technologies Group Plc
LTHM-LN,Latham (James)
LTI-LN,Lindsell Train Investment Trust
LUCE-LN,Luceco Plc
LVCG-LN,Live Company Group Plc
LWDB-LN,Law Debenture Corp plc
LWI-LN,Lowland Investment Co plc
LXI-LN,LXI REIT Plc
MAB1-LN,Mortgage Advice Bureau (Holdings) Ltd
MAC-LN,Marechale Capital Plc
MAC1-LN,Marwyn Acquisition Ccompany I Limited
MAC2-LN,Marwyn Acquisition Company II Limited
MAC3-LN,Marwyn Acquisition Company III Limited
MACF-LN,MacFarlane Group plc
MACP-LN,Marwyn Acquisition Company Plc
MADE-LN,Made.com Group Plc
MAFL-LN,Mineral & Financial Investments Limited
MAI-LN,Maintel Hldgs
MAJE-LN,Majedie Investments plc
MANO-LN,Manolete Partners Plc
MARS-LN,Marston`s Plc
MAST-LN,Mast Energy Developments Plc
MATD-LN,Petro Matad Limited
MATE-LN,JPMorgan Multi-Asset Growth & Income Plc
MAV4-LN,Maven Income & Growth VCT 4 Plc
MAVT-LN,Momentum Multi-Asset Value Trust Plc
MBH-LN,Michelmersh Brick Hldgs
MBO-LN,Mobilityone Ltd
MBT-LN,Mobile Tornado Group Plc
MCB-LN,McBride
MCKS-LN,McKay Securities
MCL-LN,Morses Club Plc
MCLS-LN,Mccoll`s Retail Group Plc
MCM-LN,MC Mining Limited
MCON-LN,Mincon Group plc
MCRO-LN,Micro Focus International Plc
MCS-LN,McCarthy & Stone plc
MDC-LN,Mediclinic International Plc
MDZ-LN,Mediazest
MEAL-LN,Parsley Box Group Plc
MED-LN,Intelligent Ultrasound Group Plc
MER-LN,Mears Group
MERC-LN,Mercia Asset Management Plc
MERI-LN,Merian Chrysalis Investment Company Limited
MFX-LN,Manx Financial Group Plc
MGAM-LN,Morgan Advanced Materials Plc
MGCI-LN,M&G Credit Income Investment Trust Plc
MGGT-LN,Meggitt plc
MGNS-LN,Morgan Sindall Group plc
MGP-LN,Medica Group Plc
MHC-LN,MyHealthChecked Plc
MHN-LN,Menhaden Plc
MIDW-LN,Midwich Group Plc
MIG-LN,Mobeus Income & Growth 2 VCT Plc - New
MIG1-LN,Maven Income & Growth VCT Plc
MIG3-LN,Maven Income and Growth Vct 3 Plc
MIG4-LN,Mobeus Income & Growth 4 VCT plc
MIG5-LN,Maven Income and Growth VCT 5 Plc
MIGO-LN,Miton Global Opportunities Plc
MIN-LN,Minoan Group Plc
MIND-LN,Mind Gym Plc
MINI-LN,Miton UK MicroCap Trust plc
MIRA-LN,Mirada Plc
MIRI-LN,Mirriad Advertising Plc
MIX-LN,Mobeus Income & Growth VCT Plc
MJH-LN,MJ Hudson Group Plc
MKA-LN,Mkango Resources Ltd
MKS-LN,Marks & Spencer Group
MLVN-LN,Malvern International Plc
MMAG-LN,musicMagpie Plc
MMH-LN,Marshall Motor Holdings Plc
MMIT-LN,Mobius Investment Trust plc
MMM-LN,Mining Minerals & Metals Plc
MMX-LN,Minds Machines Group Limited
MNDI-LN,Mondi
MNG-LN,M&G Plc
MNKS-LN,Monks Investment Trust plc
MNL-LN,Manchester & London Investment Trust
MNO-LN,Maestrano Group Plc
MNP-LN,Martin Currie Global Portfolio Trust Plc
MNRG-LN,MetalNRG Plc
MNZS-LN,Menzies (John) plc
MODE-LN,Mode Global Holdings Plc
MOGP-LN,Mountfield Group Plc
MONY-LN,Moneysupermarket.Com Group Plc
MOON-LN,Moonpig Group Plc
MOS-LN,Mobile Streams
MOTR-LN,Motorpoint Group Plc
MPAC-LN,Mpac Group Plc
MPE-LN,M.P. Evans Group Plc
MPH-LN,Mereo Biopharma Group Plc
MPL-LN,Mercantile Ports and Logistics Limited
MPLF-LN,Marble Point Loan Financing Limited
MPO-LN,Macau Property Opportunities Fund
MRC-LN,The Mercantile Investment Trust Plc
MRCH-LN,Merchants Trust plc
MRIT-LN,Merit Group Plc.
MRL-LN,Marlowe Plc
MRO-LN,Melrose Industries Plc.
MRTW-LN,Meritwell II Limited
MRW-LN,Morrison (Wm.) Supermarkets plc
MSI-LN,MS International plc
MSLH-LN,Marshalls Group
MSMN-LN,Mosman Oil and Gas Limited
MSYS-LN,Microsaic Systems PLC
MTC-LN,Mothercare plc
MTE-LN,Montanaro European Smaller Companies Trust Plc
MTL-LN,Metals Exploration
MTO-LN,Mitie Group plc
MTPH-LN,Midatech Pharma Plc
MTR-LN,Metal Tiger Plc
MTRO-LN,Metro Bank Plc
MTU-LN,Montanaro UK Smaller Companies Investment Trust plc
MTVW-LN,Mountview Estates
MTW-LN,Mattioli Woods
MUL-LN,Mulberry Group
MUST-LN,Mustang Energy Plc
MUT-LN,Murray Income Trust plc
MVI-LN,Marwyn Value Investors Ltd (New)
MVIR-LN,Marwyn Value Investors Ltd (New) (Realisation Share)
MVR-LN,MelodyVR Group Plc
MWE-LN,Mti Wireless Edge
MWG-LN,Modern Water Plc
MWY-LN,Mid Wynd International Investment Trust plc
MXC-LN,MGC Pharmaceuticals Ltd
MXCL-LN,MaxCyte Inc - Reg S
MXCN-LN,MaxCyte Inc - Reg S New
MXCT-LN,MaxCyte Inc
MYI-LN,Murray International Trust plc
MYSL-LN,MySale Group Plc
MYX-LN,MyCelx Technologies Corporation
MYXR-LN,MyCelx Technologies Corporation - Reg S
N4P-LN,N4 Pharma Plc
N91-LN,Ninety One Plc
NAH-LN,NAHL Group Plc
NAIT-LN,North American Income Trust Plc
NAK-LN,Nakama Group Plc
NANO-LN,Nanoco Group Plc
NAPS-LN,Napster Group Plc
NAR-LN,Northamber
NAS-LN,North Atlantic Smaller Companies Investment Trust plc
NAVC-LN,Nippon Active Value Fund Plc - Class C
NAVF-LN,Nippon Active Value Fund Plc
NBB-LN,Norman Broadbent Plc
NBDG-LN,NB Distressed Debt Investment Fund Ltd - Global Shares
NBI-LN,Northbridge Industrial Services
NBMI-LN,NB Global Monthly Income Fund Limited - Redeemable Shares - GBP
NCA-LN,New Century Aim Vct
NCA2-LN,New Century Aim Vct 2 Plc
NCC-LN,NCC Group
NCCL-LN,Ncondezi Energy Limited
NCYF-LN,CQS New City High Yield Fund Limited
NCYT-LN,Novacyt
NESF-LN,NextEnergy Solar Fund Limited
NET-LN,Netcall plc
NETW-LN,Network International Holdings Plc
NEX-LN,National Express Group plc
NEXS-LN,Nexus Infrastructure Plc
NFC-LN,Next Fifteen Communications Group plc
NFX-LN,Nuformix plc
NG.-LN,National Grid Plc
NGHT-LN,Nightcap Plc
NICL-LN,Nichols plc
NMCN-LN,NMCN Plc
NOG-LN,Nostrum Oil & Gas Plc
NRR-LN,NewRiver REIT Plc
NSCI-LN,NetScientific plc
NSF-LN,Non-Standard Finance Plc
NSH-LN,Norish
NSI-LN,New Star Investment Trust
NTBR-LN,Northern Bear Plc
NTN-LN,Northern 3 VCT plc
NTOG-LN,Nostra Terra Oil&Gas Co Plc
NTQ-LN,Enteq Upstream Plc
NTV-LN,Northern 2 Venture Capital Trust plc
NUC-LN,Nucleus Financial Group Plc
NUM-LN,Numis Corporation plc
NVT-LN,Northern Venture Trust plc
NWF-LN,NWF Group
NWG-LN,NatWest Group Plc
NWT-LN,Newmark Security plc
NXR-LN,Norcros Plc
NXT-LN,Next plc.
OAP3-LN,Octopus Apollo VCT Plc
OBC-LN,Online Blockchain Plc
OBD-LN,Oxford BioDynamics Plc
OCDO-LN,Ocado Group Plc
OCI-LN,Oakley Capital Investments Ltd
OCN-LN,Ocean Wilsons Holdings Ltd.
OCT-LN,Octagonal Plc
OCTP-LN,Oxford Cannabinoid Technologies Holdings Plc
ODX-LN,Omega Diagnostics Group Plc
OEX-LN,Oilex Ltd
OHG-LN,One Heritage Group Plc
OIG-LN,Oryx International Growth Fund
OIT-LN,Odyssean Investment Trust Plc
OITC-LN,Odyssean Investment Trust Plc - Class C
OKYO-LN,OKYO Pharma Limited
OMG-LN,Oxford Metrics plc
OMI-LN,Orosur Mining Inc
OMIP-LN,One Media iP Group Plc
OMU-LN,Old Mutual Limited
ONC-LN,Oncimmune Holdings plc
OOA-LN,Octopus AIM VCT Plc
OPG-LN,Opg Power Venture PLC
OPM-LN,1PM Plc
OPP-LN,Origo Partners Plc
OPTI-LN,OptiBiotix Health plc
ORCH-LN,Orchard Funding Group Plc
ORCP-LN,Oracle Power Plc
ORIT-LN,Octopus Renewables Infrastructure Trust Plc
ORM-LN,Ormonde Mining Plc
ORNT-LN,Orient Telecoms PLC
ORPH-LN,Open Orphan plc
ORR-LN,Oriole Resources PLC
OSB-LN,OSB Group PLC
OSEC-LN,Octopus AIM VCT 2 plc - Class A
OSI-LN,Osirium Technologies plc
OTAQ-LN,OTAQ Plc
OTB-LN,On the Beach Group plc
OTMP-LN,OnTheMarket Plc
OTT-LN,Oxford Technology 3 Venture Capital Trust plc
OTV2-LN,Octopus Titan VCT plc
OVB-LN,Ovoca Bio Plc
OXB-LN,Oxford Biomedica
OXF-LN,Oxford Technology 4 VCT
OXH-LN,Oxford Technology 2 Venture Capital Trust plc
OXIG-LN,Oxford Instruments plc
OXT-LN,Oxford Technology Venture Capital Trust plc
PAC-LN,Pacific Assets Trust plc
PAF-LN,Pan African Resources Plc
PAG-LN,Paragon Banking Group Plc
PAGE-LN,PageGroup Plc
PALM-LN,Panther Metals Plc
PANR-LN,Pantheon Resources
PAT-LN,Panthera Resources Plc
PATH-LN,Path Investments Plc
PAY-LN,Paypoint
PBEE-LN,PensionBee Group Plc
PBLT-LN,TOC Property Backed Lending Trust Plc
PCA-LN,Palace Capital Plc
PCF-LN,PCF Group Plc
PCFC-LN,Polar Capital Global Financials Trust Plc - Class C
PCFT-LN,Polar Capital Global Financials Trust Plc
PCGH-LN,Polar Capital Global Healthcare Trust Plc
PCIP-LN,PCI-PAL Plc
PCP-LN,Pacific Petroleum Holdings Plc
PCT-LN,Polar Capital Technology Trust
PCTN-LN,Picton Property Income Limited
PDG-LN,Pendragon plc
PDL-LN,Petra Diamonds
PDZ-LN,Prairie Mining Limited
PEB-LN,Pebble Beach Systems Group Plc
PEBB-LN,Pebble Group Plc
PEG-LN,Petards Group Plc
PEMB-LN,Pembroke VCT plc - Class B
PEN-LN,Pennant International
PERE-LN,Pembridge Resources Plc
PET-LN,Petrel Resources
PETS-LN,Pets at Home Group Plc
PEY-LN,Princess Private Equity Hldgs
PFC-LN,Petrofac
PFD-LN,Premier Foods
PFG-LN,Provident Financial plc
PFP-LN,Pathfinder Minerals Plc
PGH-LN,Personal Group Holdings
PGOO-LN,Proven Growth and Income VCT Plc
PGR-LN,Phoenix Global Resources Plc
PHAR-LN,Pharos Energy Plc
PHC-LN,Plant Health Care
PHD-LN,Proactis Hldgs
PHE-LN,PowerHouse Energy Group Plc
PHI-LN,Pacific Horizon Investment Trust plc
PHNX-LN,Phoenix Group Holdings Plc
PHP-LN,Primary Health Prop.
PHSC-LN,PHSC
PHTM-LN,Photo-Me International plc
PIER-LN,The Brighton Pier Group Plc
PIN-LN,Pantheon International Plc
PIP-LN,Pipehawk
PIRI-LN,Pires Investments Plc.
PLAZ-LN,Plaza Centers NV
PLI-LN,Perpetual Income & Growth Investment Trust plc
PLNT-LN,Plantic Technologies Ltd
PLP-LN,Genuit Group Plc
PLUS-LN,Plus500 Ltd
PMG-LN,The Parkmead Group Plc
PMGR-LN,Premier Miton Global Renewables Trust Plc
PMI-LN,Premier Miton Group Plc
PMO-LN,Premier Oil plc.
PMP-LN,Portmeirion Group plc
PNL-LN,Personal Assets Trust plc
PNN-LN,Pennon Group
PNPL-LN,Pineapple Power Corporation Plc
PNS-LN,Panther Securities plc
POG-LN,Petropavlovsk Plc
POLR-LN,Polar Capital Hldgs Plc
POLX-LN,Polarean Imaging Plc
POLY-LN,Polymetal International Plc
POS-LN,Plexus Hldgs
POW-LN,Power Metal Resources Plc
PPC-LN,President Energy Plc
PPG-LN,Plutus PowerGen Plc
PPH-LN,PPHE Hotel Group Limited
PPIX-LN,Prophotonix Ltd
PPP-LN,Pennpetro Energy Plc
PPS-LN,Proton Motor Power Systems Plc
PRD-LN,Predator Oil & Gas Holdings Plc
PRE-LN,Pensana Plc
PREM-LN,Premier African Minerals Limited
PRES-LN,Pressure Technologies Plc
PRIM-LN,Primorus Investments Plc
PRM-LN,Proteome Sciences plc
PRP-LN,Prime People plc
PRSM-LN,Blue Prism Group Plc
PRSR-LN,PRS REIT Plc
PRTC-LN,PureTech Health Plc
PRU-LN,Prudential plc
PRV-LN,Porvair plc
PSN-LN,Persimmon plc
PSON-LN,Pearson plc
PTAL-LN,PetroTal Corp
PTD-LN,Pittards
PTEC-LN,Playtech Plc
PTR-LN,Petroneft Resources
PTRO-LN,Pelatro Plc
PTY-LN,Parity Group plc
PU11-LN,Puma VCT 11 Plc
PU12-LN,Puma VCT 12 Plc
PU13-LN,Puma VCT 13 Plc
PUAL-LN,Puma Alpha VCT Plc
PUR-LN,Pure Gold Mining Inc
PURP-LN,Purplebricks Group plc
PVN-LN,Proven Venture Capital Trust plc
PVR-LN,Providence Resources Plc
PXC-LN,Phoenix Copper Limited
PXEN-LN,Prospex Energy Plc
PXS-LN,Provexis Plc
PYC-LN,Physiomics
PZC-LN,PZ Cussons plc
QBT-LN,Quantum Blockchain Technologies Plc
QFI-LN,Quadrise Fuels International Plc
QLT-LN,Quilter Plc
QQ.-LN,Qinetiq Group
QRT-LN,Quarto Group Inc.
QRTR-LN,Quarto Group Inc. - Reg S
QTX-LN,Quartix Technologies Plc
QUIZ-LN,Quiz Plc
QXT-LN,Quixant Plc
RAI-LN,RA International Group Plc
RAT-LN,Rathbone Brothers plc
RAV-LN,Raven Property Group Limited
RB.-LN,Reckitt Benckiser Group Plc
RBD-LN,Reabold Resources Plc
RBG-LN,Revolution Bars Group Plc
RBGP-LN,RBG Holdings plc
RBN-LN,Robinson
RBW-LN,Rainbow Rare Earths Ltd
RCDO-LN,Ricardo plc
RCH-LN,Reach plc
RCN-LN,Redcentric Plc
RCP-LN,RIT Capital Partners plc
RDGC-LN,Ridgecrest Plc
RDI-LN,RDI REIT Plc
RDL-LN,RDL Realisation Plc
RDSA-LN,Royal Dutch Shell Plc - Class A
RDSB-LN,Royal Dutch Shell Plc - Class B
RDT-LN,Rosslyn Data Technologies Plc
RDW-LN,Redrow plc
RE.-LN,REA Holdings
REC-LN,Record Plc
RECI-LN,Real Estate Credit Investments Limited
REDD-LN,Redde Northgate Plc
REDX-LN,Redx Pharma Plc
REL-LN,RELX Plc
RENE-LN,Reneuron Group
RENX-LN,Renalytix AI Plc
RESI-LN,Residential Secure Income Plc
RFX-LN,Ramsdens Holdings Plc
RGD-LN,Real Good Food Plc
RGL-LN,Regional REIT Limited
RGO-LN,RiverFort Global Opportunities Plc
RGP-LN,Ross Group plc
RHIM-LN,RHI Magnesita N.V.
RIII-LN,Rights & Issues Investment Trust plc
RIO-LN,Rio Tinto plc - Registered Shares
RIV-LN,River and Mercantile Group Plc
RKH-LN,Rockhopper Exploration
RKT.L-LN,Reckitt Benckiser Group Plc
RLE-LN,Real Estate Investors Plc
RM.-LN,RM plc
