symbol,name
AUK-LN,Aukett Swanke Group Plc.
AURA-LN,Aura Energy Limited
AUTG-LN,Autins Group Plc
AUTO-LN,Auto Trader Group Plc
AUY-LN,Yamana Gold Inc.
AV.-LN,Aviva Plc
AVAP-LN,Avation Plc
AVCT-LN,Avacta Group Plc
AVG-LN,Avingtrans plc
AVO-LN,Advanced Oncotherapy Plc
AVON-LN,Avon Rubber plc
AVST-LN,Avast PLC
AVV-LN,Aveva Group
AWE-LN,Alphawave IP Group Plc
AXI-LN,Axiom European Financial Debt Limited
AXS-LN,Accsys Technologies
AYM-LN,Anglesey Mining plc
AZN-LN,Astrazeneca plc
B90-LN,B90 Holdings Plc
BA.-LN,BAE Systems plc
BAB-LN,Babcock International Group plc
BAF-LN,British & American Investment Trust plc
BAG-LN,Barr(A.G.) plc
BAKK-LN,Bakkavor Group Plc
BAR-LN,Brand Architekts Group plc
BARC-LN,Barclays plc
BARK-LN,Barkby Group Plc
BASC-LN,Brown Advisory US Smaller Companies Plc
BATS-LN,British American Tobacco Plc
BBB-LN,Bigblu Broadband plc
BBGI-LN,BBGI Global Infrastructure S.A.
BBH-LN,BB Healthcare Trust Plc
BBOX-LN,Tritax Big Box Reit Plc
BBSN-LN,Brave Bison Group Plc
BBY-LN,Balfour Beatty plc
BCI-LN,BMO Capital and Income Investment Trust Plc
BCN-LN,Bacanora Lithium Plc
BCPT-LN,BMO Commercial Property Trust Limited
BDEV-LN,Barratt Developments plc
BEG-LN,Begbies Traynor Group
BELL-LN,Belluscura Plc
BEM-LN,Beowulf Mining plc
BEMO-LN,Barings Emerging EMEA Opportunities PLC.
BERI-LN,BlackRock Energy and Resources Income Trust Plc
BESS-LN,Bluefield European Solar Fund Ltd
BEZ-LN,Beazley Plc.
BFSP-LN,Blackfinch Spring VCT Plc
BGCG-LN,Baillie Gifford China Growth Trust Plc
BGEO-LN,Bank of Georgia Group Plc
BGEU-LN,Baillie Gifford European Growth Trust Plc
BGFD-LN,Baillie Gifford Japan Trust plc
BGHS-LN,Boussard & Gavaudan Holding (GBP)
BGO-LN,bango
BGS-LN,Baillie Gifford Shin Nippon plc
BGSC-LN,BMO Global Smaller Companies Plc
BGUK-LN,Baillie Gifford UK Growth Trust plc
BHGG-LN,Bh Global Ltd
BHI-LN,BMO UK High Income Trust Plc
BHIB-LN,BMO UK High Income Trust Plc - Class B
BHMG-LN,BH Macro Ltd
BHP-LN,BHP Group Plc
BIFF-LN,Biffa Plc
BIH-LN,Boston International Holdings plc
BILB-LN,Bilby Plc
BILN-LN,Billington Holdings Plc
BIOG-LN,Biotech Growth Trust
BIOM-LN,Biome Technologies Plc
BION-LN,BiON Plc
BIPS-LN,Invesco Bond Income Plus Limited
BIRD-LN,Blackbird Plc
BISI-LN,Bisichi Plc
BKG-LN,Berkeley Group Holdings
BKS-LN,Beeks Financial Cloud Group Plc
BKY-LN,Berkeley Energia Limited
BLND-LN,British Land Co plc
BLOE-LN,Block Energy Plc
BLP-LN,Blue Planet Investment Trust Plc
BLTG-LN,Blancco Technology Group Plc
BLU-LN,Blue Star Capital
BLV-LN,Belvoir Group Plc
BLVN-LN,Bowleven
BMD-LN,Baronsmead Second Venture Trust plc.
BME-LN,B&M European Value Retail S.A.
BMK-LN,Benchmark Holdings Plc
BMN-LN,Bushveld Minerals Limited
BMPG-LN,BMO Managed PortfolioTrust Plc - Growth Shares
BMPI-LN,BMO Managed PortfolioTrust Plc - Income Shares
BMS-LN,Braemar Shipping Services Plc
BMT-LN,Braime Group Plc - Class A
BMTO-LN,Braime Group Plc
BMV-LN,Bluebird Merchant Ventures Ltd
BMY-LN,Bloomsbury Publishing plc
BNC-LN,Banco Santander S.A.
BNKR-LN,Bankers Investment Trust plc
